time,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
237,109.571205,109.550735,109.53027,109.509796,109.31543,108.67425,108.63843,108.907646,109.18853,109.25435,109.31535,108.8094,109.09029,109.239624,109.135635,109.022736,108.38156,108.34574,108.30991,108.79356,108.9545,109.0155,108.99504,108.97456,108.9541
238,102.5358,102.51532,102.49486,102.47439,102.26567,101.57367,101.53785,101.832214,102.13878,102.21205,102.279945,101.73396,102.040535,102.204216,102.09334,101.972984,101.28098,101.245155,101.20934,101.73579,101.91219,101.98009,101.959625,101.939156,101.918686
239,109.56164,109.541176,109.5207,109.50024,109.30192,108.64664,108.61083,108.88703,109.17502,109.24289,109.30579,108.78879,109.076775,109.23006,109.124176,109.00923,108.35395,108.31813,108.28232,108.77783,108.94304,109.00594,108.985466,108.965004,108.94453
240,110.5632,110.542725,110.52226,110.501785,110.304054,109.65071,109.61489,109.89016,110.17715,110.24473,110.30734,109.791916,110.0789,110.23162,110.126015,110.01136,109.358025,109.322205,109.286385,109.78028,109.94487,110.00749,109.98703,109.96655,109.94609
241,110.56475,110.54428,110.52381,110.50335,110.30618,109.65478,109.618965,109.89329,110.179276,110.24656,110.30891,109.795044,110.08103,110.23317,110.127846,110.0135,109.36209,109.32627,109.29046,109.78272,109.94671,110.00905,109.98859,109.96811,109.94765
242,109.56631,109.545845,109.52537,109.504906,109.308304,108.65885,108.62303,108.89641,109.18141,109.24839,109.31046,108.798164,109.08316,109.234726,109.129684,109.015625,108.366165,108.330345,108.294525,108.785164,108.94854,109.01061,108.990135,108.96967,108.949196
243,109.567856,109.54739,109.52693,109.506454,109.31043,108.66292,108.627106,108.899536,109.18354,109.25023,109.31201,108.80129,109.0853,109.23629,109.131516,109.017746,108.37023,108.33441,108.2986,108.787605,108.95037,109.01216,108.9917,108.97122,108.95076
244,108.56942,108.54895,108.52849,108.50801,108.31256,107.66699,107.63117,107.90266,108.18567,108.25207,108.31357,107.804405,108.087425,108.23784,108.13335,108.019875,107.374306,107.338486,107.30266,107.790054,107.9522,108.01372,107.993256,107.97278,107.95232
245,112.66456,112.6441,112.62363,112.60316,112.44695,111.9416,111.90578,112.107735,112.32006,112.36603,112.408714,112.00949,112.22181,112.33298,112.247314,112.15427,111.64891,111.61309,111.57727,111.946434,112.06618,112.108864,112.088394,112.067924,112.047455
246,112.66243,112.64197,112.62149,112.60103,112.44396,111.93555,111.89972,112.10319,112.31706,112.36348,112.406586,112.004944,112.21881,112.33085,112.244774,112.15127,111.64285,111.60703,111.57121,111.94297,112.06363,112.106735,112.08626,112.065796,112.04533
247,117.6603,117.639824,117.61936,117.5989,117.44096,116.92949,116.89367,117.09865,117.31407,117.36093,117.40446,117.000404,117.21581,117.32872,117.242226,117.14828,116.6368,116.600975,116.56517,116.93949,117.06108,117.10459,117.08413,117.06366,117.04319
248,116.65817,116.637695,116.61723,116.596756,116.437965,115.92343,115.88762,116.09411,116.31107,116.35839,116.40231,115.995865,116.21282,116.32659,116.23968,116.14528,115.630745,115.59493,115.55911,115.93601,116.05854,116.10246,116.082,116.06152,116.04106
249,117.65603,117.63557,117.615105,117.59463,117.434975,116.91739,116.88157,117.08957,117.30808,117.35584,117.400185,116.991325,117.20982,117.32446,117.23713,117.14229,116.624695,116.588875,116.553055,116.93253,117.05599,117.100334,117.07987,117.059395,117.03893
250,118.6539,118.63344,118.61296,118.5925,118.43198,117.91133,117.87551,118.08503,118.305084,118.353294,118.398056,117.986786,118.20683,118.32232,118.23459,118.13929,117.618645,117.582825,117.54701,117.929054,118.053444,118.098206,118.07773,118.05727,118.0368
251,117.65177,117.63131,117.61083,117.59037,117.428986,116.90527,116.86946,117.08049,117.302086,117.350746,117.39593,116.98225,117.20384,117.32019,117.23204,117.13629,116.61259,116.57677,116.540955,116.92558,117.050896,117.09608,117.0756,117.05514,117.03466
252,115.64964,115.629166,115.6087,115.58824,115.42599,114.89923,114.86341,115.07595,115.299095,115.348206,115.3938,114.97771,115.20085,115.31806,115.22949,115.1333,114.606544,114.57072,114.5349,114.922104,115.04835,115.09393,115.07347,115.05299,115.03253
253,114.64751,114.62704,114.606575,114.5861,114.423,113.89317,113.85735,114.0714,114.2961,114.34566,114.391655,113.97316,114.19785,114.31593,114.226944,114.1303,113.60049,113.56467,113.52885,113.918625,114.04581,114.091805,114.07134,114.050865,114.0304
254,112.64537,112.62491,112.60445,112.58397,112.42,111.887115,111.851295,112.066864,112.293106,112.34311,112.38953,111.96862,112.194855,112.3138,112.22439,112.12731,111.59443,111.55861,111.5228,111.915146,112.04326,112.089676,112.069214,112.04874,112.028275
255,112.65849,112.63802,112.61756,112.597084,112.43843,111.9244,111.88858,112.094826,112.31153,112.35878,112.40264,111.99658,112.21329,112.32691,112.24007,112.145744,111.631714,111.595894,111.56007,111.93655,112.05893,112.10279,112.08233,112.06185,112.04139
256,113.65581,113.63533,113.61487,113.5944,113.434654,112.916756,112.88094,113.089096,113.307755,113.35557,113.399956,112.99085,113.20951,113.32423,113.236855,113.14197,112.62406,112.58824,112.55243,112.93216,113.05571,113.1001,113.079636,113.059166,113.038704
258,115.65311,115.632645,115.61218,115.591705,115.43087,114.90912,114.8733,115.08337,115.30398,115.352356,115.39726,114.98512,115.205734,115.32154,115.233635,115.13819,114.61643,114.580605,114.54479,114.92778,115.052505,115.09741,115.07695,115.05647,115.03601
259,119.65042,119.62996,119.6095,119.58902,119.42709,118.90148,118.86566,119.07764,119.3002,119.349144,119.39458,118.97939,119.20196,119.31884,119.23043,119.13441,118.608795,118.57297,118.53715,118.923386,119.04929,119.09473,119.074265,119.05379,119.033325
260,111.64139,111.620926,111.60045,111.57999,111.41448,110.87628,110.84046,111.05865,111.287575,111.33839,111.385544,110.960396,111.18933,111.30981,111.21967,111.121796,110.583595,110.547775,110.51195,110.908775,111.038536,111.08569,111.065216,111.044754,111.024284
261,111.64261,111.62213,111.60167,111.58121,111.41618,110.8797,110.84387,111.06121,111.28928,111.339836,111.386765,110.96297,111.19103,111.31103,111.221115,111.1235,110.587006,110.551186,110.51537,110.91074,111.039986,111.0869,111.06644,111.04597,111.025505
262,110.643814,110.62335,110.60289,110.58241,110.417885,109.88312,109.8473,110.06378,110.290985,110.341286,110.38797,109.96553,110.19274,110.31225,110.222565,110.1252,109.59043,109.55461,109.51879,109.91273,110.041435,110.08812,110.06766,110.04718,110.02672
263,109.645035,109.62457,109.604095,109.58363,109.419586,108.886536,108.850716,109.06635,109.29269,109.342735,109.38919,108.96811,109.19444,109.31345,109.22402,109.1269,108.59384,108.55802,108.52221,108.914696,109.04288,109.08934,109.06886,109.0484,109.02793
264,109.646255,109.62578,109.605316,109.58485,109.42129,108.889946,108.85413,109.068924,109.29439,109.34418,109.3904,108.97068,109.196144,109.314674,109.22547,109.1286,108.59726,108.56145,108.52563,108.91667,109.04433,109.090546,109.07008,109.049614,109.029144
265,110.64746,110.627,110.60653,110.58606,110.42298,109.89337,109.85755,110.07149,110.29609,110.34563,110.39162,109.97324,110.197845,110.31588,110.22692,110.1303,109.60068,109.56486,109.529045,109.91864,110.04578,110.09177,110.0713,110.05083,110.030365
